batch,group,rows
R13_batch_biome_transition_01.csv,biome_transition,54
R13_batch_cliffs_01.csv,cliffs,44
R13_batch_generic_other_01.csv,generic_other,250
R13_batch_generic_other_02.csv,generic_other,40
R13_batch_generic_runtime_handler_01.csv,generic_runtime_handler,250
R13_batch_generic_runtime_handler_02.csv,generic_runtime_handler,250
R13_batch_generic_runtime_handler_03.csv,generic_runtime_handler,250
R13_batch_generic_runtime_handler_04.csv,generic_runtime_handler,224
R13_batch_generic_script_01.csv,generic_script,250
R13_batch_generic_script_02.csv,generic_script,125
R13_batch_lod_streaming_export_01.csv,lod_streaming_export,60
R13_batch_materials_01.csv,materials,41
R13_batch_roads_paths_01.csv,roads_paths,98
R13_batch_scatter_foliage_01.csv,scatter_foliage,214
R13_batch_terrain_shape_01.csv,terrain_shape,197
R13_batch_tooling_wiring_01.csv,tooling_wiring,102
R13_batch_validation_visual_01.csv,validation_visual,111
R13_batch_water_01.csv,water,151
